ts,v29_regime,v30_regime,price,drawdown_pct,rsi
2021-01-02 14:00:00+00:00,BULL,RANGE,762.42,-1.26,70.1
2021-01-02 15:00:00+00:00,BULL,RANGE,770.86,-0.16,72.8
2021-01-05 05:00:00+00:00,CRASH,BULL,990.34,-11.21,46.6
2021-01-05 06:00:00+00:00,CRASH,BULL,1016.19,-8.89,50.6
2021-01-19 05:00:00+00:00,RECOVERY,CRASH,1323.55,-1.85,67.1
2021-01-19 06:00:00+00:00,RECOVERY,CRASH,1332.54,-1.18,68.7
2021-01-26 03:00:00+00:00,CRASH,RECOVERY,1312.89,-9.92,38.7
2021-01-26 04:00:00+00:00,CRASH,RECOVERY,1339.66,-8.08,44.6
2021-02-09 03:00:00+00:00,RECOVERY,CRASH,1737.31,-0.96,60.2
2021-02-09 04:00:00+00:00,RECOVERY,CRASH,1740.37,-0.78,60.7
2021-02-16 03:00:00+00:00,RANGE,RECOVERY,1820.0,-2.52,56.4
2021-02-16 04:00:00+00:00,RANGE,RECOVERY,1811.87,-2.96,54.0
2021-02-17 16:00:00+00:00,BULL,RANGE,1815.19,-2.78,58.7
2021-02-17 17:00:00+00:00,BULL,RANGE,1819.92,-2.53,60.1
2021-02-21 16:00:00+00:00,RANGE,BULL,1959.92,-3.46,51.2
2021-02-21 17:00:00+00:00,RANGE,BULL,1951.43,-3.88,48.6
2021-02-21 18:00:00+00:00,RANGE,BULL,1965.01,-3.21,52.8
2021-02-21 19:00:00+00:00,RANGE,BULL,1966.9,-3.12,53.3
2021-02-22 10:00:00+00:00,CRASH,RANGE,1816.01,-10.55,28.8
2021-02-22 11:00:00+00:00,CRASH,RANGE,1800.0,-11.34,26.7
2021-03-08 10:00:00+00:00,RECOVERY,CRASH,1712.17,-15.66,56.2
2021-03-08 11:00:00+00:00,RECOVERY,CRASH,1724.3,-15.07,58.9
2021-03-12 12:00:00+00:00,CRASH,RECOVERY,1768.92,-12.87,37.4
2021-03-12 13:00:00+00:00,CRASH,RECOVERY,1745.77,-14.01,31.2
2021-03-13 07:00:00+00:00,CORRECTION,CRASH,1789.64,-11.85,56.9
2021-03-13 09:00:00+00:00,CORRECTION,CRASH,1788.98,-11.88,56.3
2021-03-13 10:00:00+00:00,CORRECTION,CRASH,1860.0,-8.38,72.4
2021-03-13 11:00:00+00:00,CORRECTION,CRASH,1870.61,-7.86,73.9
2021-03-13 12:00:00+00:00,CORRECTION,CRASH,1881.58,-7.32,75.5
2021-03-14 17:00:00+00:00,CORRECTION,CRASH,1854.76,-8.64,42.4
2021-03-14 18:00:00+00:00,CORRECTION,CRASH,1875.78,-7.6,50.8
2021-03-14 19:00:00+00:00,CORRECTION,CRASH,1871.6,-7.81,49.3
2021-03-15 06:00:00+00:00,CORRECTION,CRASH,1811.43,-10.77,34.2
2021-03-15 07:00:00+00:00,CORRECTION,CRASH,1794.93,-11.59,31.2
2021-03-15 08:00:00+00:00,CORRECTION,CRASH,1788.37,-11.91,30.1
2021-03-15 13:00:00+00:00,CORRECTION,CRASH,1789.79,-11.84,37.8
2021-03-15 19:00:00+00:00,CORRECTION,CRASH,1787.01,-11.98,41.2
2021-03-15 20:00:00+00:00,CORRECTION,CRASH,1793.07,-11.68,43.6
2021-03-15 21:00:00+00:00,CORRECTION,CRASH,1799.07,-11.38,45.9
2021-03-15 22:00:00+00:00,CORRECTION,CRASH,1787.31,-11.96,42.2
2021-03-15 23:00:00+00:00,CORRECTION,CRASH,1795.07,-11.58,45.3
2021-03-16 06:00:00+00:00,CORRECTION,CRASH,1790.85,-11.79,51.3
2021-03-16 07:00:00+00:00,CORRECTION,CRASH,1798.79,-11.4,53.4
2021-03-16 08:00:00+00:00,CORRECTION,CRASH,1804.56,-11.11,54.9
2021-03-16 09:00:00+00:00,CORRECTION,CRASH,1806.39,-11.02,55.4
2021-03-16 10:00:00+00:00,CORRECTION,CRASH,1794.61,-11.6,51.5
2021-03-16 11:00:00+00:00,CORRECTION,CRASH,1791.68,-11.75,50.5
2021-03-16 14:00:00+00:00,CORRECTION,CRASH,1795.61,-11.55,52.1
2021-03-16 15:00:00+00:00,CORRECTION,CRASH,1803.62,-11.16,54.7
2021-03-16 16:00:00+00:00,CORRECTION,CRASH,1800.63,-11.31,53.5
2021-03-16 20:00:00+00:00,CORRECTION,CRASH,1797.12,-11.48,52.7
2021-03-16 21:00:00+00:00,CORRECTION,CRASH,1787.37,-11.96,49.3
2021-03-16 22:00:00+00:00,CORRECTION,CRASH,1789.14,-11.87,50.0
2021-03-16 23:00:00+00:00,CORRECTION,CRASH,1806.03,-11.04,55.7
2021-03-17 17:00:00+00:00,CORRECTION,CRASH,1789.79,-11.84,55.1
2021-03-17 18:00:00+00:00,CORRECTION,CRASH,1822.8,-10.21,65.8
2021-03-17 19:00:00+00:00,CORRECTION,CRASH,1829.1,-9.9,67.4
2021-03-17 20:00:00+00:00,CORRECTION,CRASH,1815.93,-10.55,61.0
2021-03-17 21:00:00+00:00,CORRECTION,CRASH,1822.16,-10.25,62.8
2021-03-17 22:00:00+00:00,CORRECTION,CRASH,1815.07,-10.59,59.4
2021-03-17 23:00:00+00:00,CORRECTION,CRASH,1824.74,-10.12,62.4
2021-03-18 00:00:00+00:00,CORRECTION,CRASH,1819.31,-10.39,59.7
2021-03-18 01:00:00+00:00,CORRECTION,CRASH,1829.86,-9.87,63.0
2021-03-18 02:00:00+00:00,CORRECTION,CRASH,1840.31,-9.35,66.0
2021-03-18 03:00:00+00:00,CORRECTION,CRASH,1834.27,-9.65,62.8
2021-03-18 04:00:00+00:00,CORRECTION,CRASH,1830.7,-9.82,61.0
2021-03-18 05:00:00+00:00,CORRECTION,CRASH,1830.85,-9.82,61.1
2021-03-18 06:00:00+00:00,CORRECTION,CRASH,1829.52,-9.88,60.3
2021-03-18 07:00:00+00:00,CORRECTION,CRASH,1815.23,-10.59,52.7
2021-03-18 08:00:00+00:00,CORRECTION,CRASH,1805.49,-11.07,48.2
2021-03-18 09:00:00+00:00,CORRECTION,CRASH,1813.02,-10.7,51.6
2021-03-18 10:00:00+00:00,CORRECTION,CRASH,1819.59,-10.37,54.5
2021-03-18 11:00:00+00:00,CORRECTION,CRASH,1799.63,-11.36,45.7
2021-03-18 12:00:00+00:00,CORRECTION,CRASH,1797.4,-11.47,44.9
2021-03-18 13:00:00+00:00,CORRECTION,CRASH,1790.84,-11.79,42.3
2021-03-18 14:00:00+00:00,CORRECTION,CRASH,1790.64,-11.8,42.2
2021-03-18 15:00:00+00:00,CORRECTION,CRASH,1821.38,-10.28,55.8
2021-03-18 16:00:00+00:00,CORRECTION,CRASH,1810.77,-10.81,51.3
2021-03-18 17:00:00+00:00,CORRECTION,CRASH,1816.99,-10.5,53.7
2021-03-18 18:00:00+00:00,CORRECTION,CRASH,1793.82,-11.64,45.0
2021-03-19 05:00:00+00:00,CORRECTION,CRASH,1803.27,-11.18,54.4
