version,regime,segment_count,total_days,mean_dur_days,median_dur_days,min_dur_days,max_dur_days,mean_dd_entry_pct
v29,CRASH,209,885.8,4.24,0.54,0.04,23.04,-14.33
v29,RECOVERY,76,395.3,5.2,5.04,3.0,7.0,-14.72
v29,CORRECTION,155,283.9,1.83,0.21,0.04,17.33,-11.55
v29,RANGE,207,196.1,0.95,0.17,0.04,12.21,-3.15
v29,BULL,193,168.5,0.87,0.25,0.04,5.92,-2.13
v30,CRASH,106,1017.5,9.6,12.54,0.12,23.04,-14.97
v30,RECOVERY,76,395.4,5.2,5.04,3.0,7.04,-14.65
v30,RANGE,108,192.7,1.78,1.08,0.12,12.21,-3.81
v30,BULL,95,172.1,1.81,1.08,0.12,8.46,-1.99
v30,CORRECTION,44,152.4,3.46,1.69,0.12,13.0,-7.1
