version,cycle_id,from_regime,start_ts,end_ts,duration_bars,duration_days,entry_price,exit_price,drawdown_at_entry_pct,rsi_at_entry,trigger
v29,pre,RANGE,2021-01-01 00:00:00+00:00,2021-01-02 13:00:00+00:00,38,1.58,735.69,772.11,0.0,0.0,
v29,pre,BULL,2021-01-02 14:00:00+00:00,2021-01-05 04:00:00+00:00,63,2.62,762.42,1004.63,-1.26,70.1,
v29,CyA,CRASH,2021-01-05 05:00:00+00:00,2021-01-19 04:00:00+00:00,336,14.0,990.34,1305.11,-11.21,46.6,rapid_descent
v29,CyA,RECOVERY,2021-01-19 05:00:00+00:00,2021-01-26 02:00:00+00:00,166,6.92,1323.55,1350.0,-1.85,67.1,
v29,CyB,CRASH,2021-01-26 03:00:00+00:00,2021-02-09 02:00:00+00:00,336,14.0,1312.89,1725.62,-9.92,38.7,rapid_descent
v29,CyB,RECOVERY,2021-02-09 03:00:00+00:00,2021-02-16 02:00:00+00:00,168,7.0,1737.31,1798.09,-0.96,60.2,
v29,CyB,RANGE,2021-02-16 03:00:00+00:00,2021-02-17 15:00:00+00:00,37,1.54,1820.0,1811.17,-2.52,56.4,
v29,CyB,BULL,2021-02-17 16:00:00+00:00,2021-02-21 15:00:00+00:00,96,4.0,1815.19,1962.59,-2.78,58.7,
v29,CyB,RANGE,2021-02-21 16:00:00+00:00,2021-02-22 09:00:00+00:00,18,0.75,1959.92,1820.19,-3.46,51.2,
v29,CyC,CRASH,2021-02-22 10:00:00+00:00,2021-03-08 09:00:00+00:00,336,14.0,1816.01,1690.26,-10.55,28.8,rapid_descent
v29,CyC,RECOVERY,2021-03-08 10:00:00+00:00,2021-03-12 11:00:00+00:00,98,4.08,1712.17,1773.44,-15.66,56.2,
v29,CyD,CRASH,2021-03-12 12:00:00+00:00,2021-03-13 06:00:00+00:00,19,0.79,1768.92,1771.36,-12.87,37.4,drawdown
v29,CyE,CORRECTION,2021-03-13 07:00:00+00:00,2021-03-13 07:00:00+00:00,1,0.04,1789.64,1789.64,-11.85,56.9,
v29,CyF,CRASH,2021-03-13 08:00:00+00:00,2021-03-13 08:00:00+00:00,1,0.04,1784.25,1784.25,-12.11,54.7,
v29,CyG,CORRECTION,2021-03-13 09:00:00+00:00,2021-03-15 08:00:00+00:00,48,2.0,1788.98,1788.37,-11.88,56.3,
v29,CyH,CRASH,2021-03-15 09:00:00+00:00,2021-03-15 12:00:00+00:00,4,0.17,1764.79,1778.97,-13.07,26.5,
v29,CyI,CORRECTION,2021-03-15 13:00:00+00:00,2021-03-15 13:00:00+00:00,1,0.04,1789.79,1789.79,-11.84,37.8,
v29,CyJ,CRASH,2021-03-15 14:00:00+00:00,2021-03-15 18:00:00+00:00,5,0.21,1777.0,1785.83,-12.47,35.2,
v29,CyK,CORRECTION,2021-03-15 19:00:00+00:00,2021-03-15 23:00:00+00:00,5,0.21,1787.01,1795.07,-11.98,41.2,
v29,CyL,CRASH,2021-03-16 00:00:00+00:00,2021-03-16 05:00:00+00:00,6,0.25,1730.51,1750.77,-14.76,30.6,
v29,CyM,CORRECTION,2021-03-16 06:00:00+00:00,2021-03-16 11:00:00+00:00,6,0.25,1790.85,1791.68,-11.79,51.3,
v29,CyN,CRASH,2021-03-16 12:00:00+00:00,2021-03-16 13:00:00+00:00,2,0.08,1778.01,1784.86,-12.42,46.2,
v29,CyO,CORRECTION,2021-03-16 14:00:00+00:00,2021-03-16 16:00:00+00:00,3,0.12,1795.61,1800.63,-11.55,52.1,
v29,CyP,CRASH,2021-03-16 17:00:00+00:00,2021-03-16 19:00:00+00:00,3,0.12,1773.23,1784.93,-12.66,44.4,
v29,CyQ,CORRECTION,2021-03-16 20:00:00+00:00,2021-03-16 23:00:00+00:00,4,0.17,1797.12,1806.03,-11.48,52.7,
v29,CyR,CRASH,2021-03-17 00:00:00+00:00,2021-03-17 16:00:00+00:00,17,0.71,1784.82,1785.96,-12.08,48.2,
v29,CyS,CORRECTION,2021-03-17 17:00:00+00:00,2021-03-18 18:00:00+00:00,26,1.08,1789.79,1793.82,-11.84,55.1,
v29,CyT,CRASH,2021-03-18 19:00:00+00:00,2021-03-19 04:00:00+00:00,10,0.42,1768.41,1783.14,-12.89,37.7,
v29,CyU,CORRECTION,2021-03-19 05:00:00+00:00,2021-03-21 01:00:00+00:00,45,1.88,1803.27,1801.41,-11.18,54.4,
v29,CyV,CRASH,2021-03-21 02:00:00+00:00,2021-03-21 02:00:00+00:00,1,0.04,1784.0,1784.0,-12.13,29.4,
v29,CyW,CORRECTION,2021-03-21 03:00:00+00:00,2021-03-21 03:00:00+00:00,1,0.04,1787.59,1787.59,-11.95,31.9,
v29,CyX,CRASH,2021-03-21 04:00:00+00:00,2021-03-21 12:00:00+00:00,9,0.38,1770.4,1768.79,-12.8,26.9,
v29,CyY,CORRECTION,2021-03-21 13:00:00+00:00,2021-03-21 15:00:00+00:00,3,0.12,1786.58,1791.35,-12.0,44.8,
v29,CyZ,CRASH,2021-03-21 16:00:00+00:00,2021-03-21 16:00:00+00:00,1,0.04,1782.69,1782.69,-12.19,43.4,
v29,Cy[,CORRECTION,2021-03-21 17:00:00+00:00,2021-03-21 22:00:00+00:00,6,0.25,1791.32,1786.75,-11.76,48.2,
v29,Cy\,CRASH,2021-03-21 23:00:00+00:00,2021-03-22 03:00:00+00:00,5,0.21,1784.0,1783.07,-12.13,44.4,
v29,Cy],CORRECTION,2021-03-22 04:00:00+00:00,2021-03-22 07:00:00+00:00,4,0.17,1787.9,1788.54,-11.93,49.7,
v29,Cy^,CRASH,2021-03-22 08:00:00+00:00,2021-03-22 09:00:00+00:00,2,0.08,1780.0,1781.31,-12.32,45.6,
v29,Cy_,CORRECTION,2021-03-22 10:00:00+00:00,2021-03-22 11:00:00+00:00,2,0.08,1793.34,1795.37,-11.67,52.9,
v29,Cy`,CRASH,2021-03-22 12:00:00+00:00,2021-03-22 12:00:00+00:00,1,0.04,1783.11,1783.11,-12.17,47.3,
v29,Cya,CORRECTION,2021-03-22 13:00:00+00:00,2021-03-22 18:00:00+00:00,6,0.25,1778.39,1772.11,-11.25,45.0,
v29,Cyb,CRASH,2021-03-22 19:00:00+00:00,2021-03-23 18:00:00+00:00,24,1.0,1738.85,1708.66,-12.49,30.0,
v29,Cyc,CORRECTION,2021-03-23 19:00:00+00:00,2021-03-23 19:00:00+00:00,1,0.04,1706.68,1706.68,-11.83,47.7,
v29,Cyd,CRASH,2021-03-23 20:00:00+00:00,2021-03-24 07:00:00+00:00,12,0.5,1672.15,1695.56,-13.61,36.7,
v29,Cye,CORRECTION,2021-03-24 08:00:00+00:00,2021-03-24 15:00:00+00:00,8,0.33,1712.48,1720.12,-11.42,58.4,
v29,Cyf,CRASH,2021-03-24 16:00:00+00:00,2021-03-26 15:00:00+00:00,48,2.0,1699.52,1642.51,-12.09,48.3,
v29,Cyf,RECOVERY,2021-03-26 16:00:00+00:00,2021-04-02 15:00:00+00:00,168,7.0,1667.21,2074.09,-13.76,65.3,
v29,Cyf,BULL,2021-04-02 16:00:00+00:00,2021-04-06 23:00:00+00:00,104,4.33,2058.47,2113.0,-0.75,74.9,
v29,Cyf,RANGE,2021-04-07 00:00:00+00:00,2021-04-07 01:00:00+00:00,2,0.08,2093.06,2098.19,-2.24,45.4,
v29,Cyf,BULL,2021-04-07 02:00:00+00:00,2021-04-07 02:00:00+00:00,1,0.04,2109.87,2109.87,-1.45,51.6,
v29,Cyf,RANGE,2021-04-07 03:00:00+00:00,2021-04-07 16:00:00+00:00,14,0.58,2105.0,1995.12,-1.68,49.8,
