entry_ts,exit_ts,entry_price,exit_price,bars_held,days_held,cycle_trough_pct,bull_class,gross_return_pct,net_return_pct,win,exit_reason,max_dd_from_peak_pct
2021-01-02T16:00:00.000000000,2021-01-05T07:00:00.000000000,784.01,1003.69,63,2.62,0.0,SHALLOW,28.02,27.82,1,crash_signal,-10.01
2021-02-17T18:00:00.000000000,2021-02-22T12:00:00.000000000,1817.99,1779.84,114,4.75,-13.83,SHALLOW,-2.1,-2.3,0,crash_signal,-12.33
2021-04-02T18:00:00.000000000,2021-04-07T19:00:00.000000000,2055.01,1981.8,121,5.04,-35.0,DEEP,-3.56,-3.76,0,crash_signal,-7.44
2021-04-28T19:00:00.000000000,2021-05-13T01:00:00.000000000,2741.39,4005.71,342,14.25,-8.26,SHALLOW,46.12,45.92,1,crash_signal,-7.63
2021-10-20T03:00:00.000000000,2021-11-16T04:00:00.000000000,3846.31,4347.97,649,27.04,-60.22,DEEP,13.04,12.84,1,crash_signal,-10.33
2022-03-22T18:00:00.000000000,2022-04-06T18:00:00.000000000,3001.74,3238.36,360,15.0,-55.01,DEEP,7.88,7.68,1,crash_signal,-8.65
2022-08-12T06:00:00.000000000,2022-08-19T08:00:00.000000000,1892.61,1736.44,170,7.08,-74.54,DEEP,-8.25,-8.45,0,crash_signal,-13.93
2022-10-22T16:00:00.000000000,2022-11-08T06:00:00.000000000,1314.92,1485.62,398,16.58,-39.64,DEEP,12.98,12.78,1,crash_signal,-10.52
2023-01-09T09:00:00.000000000,2023-02-13T11:00:00.000000000,1317.22,1487.31,842,35.08,-34.96,DEEP,12.91,12.71,1,crash_signal,-12.57
2023-03-31T05:00:00.000000000,2023-04-20T01:00:00.000000000,1796.84,1951.93,476,19.83,-12.57,SHALLOW,8.63,8.43,1,crash_signal,-8.38
2023-05-30T03:00:00.000000000,2023-06-14T22:00:00.000000000,1901.4,1649.93,379,15.79,-17.89,MID,-13.23,-13.43,0,crash_signal,-13.92
2023-07-13T18:00:00.000000000,2023-08-17T20:00:00.000000000,1981.71,1716.4,842,35.08,0.0,SHALLOW,-13.39,-13.59,0,stop_loss_15pct,-15.16
2023-10-16T08:00:00.000000000,2023-12-11T20:00:00.000000000,1581.47,2198.85,1356,56.5,0.0,SHALLOW,39.04,38.84,1,crash_signal,-7.74
2024-02-19T16:00:00.000000000,2024-03-15T06:00:00.000000000,2896.87,3747.48,590,24.58,-10.8,SHALLOW,29.36,29.16,1,crash_signal,-7.9
2024-11-25T18:00:00.000000000,2024-12-09T23:00:00.000000000,3448.25,3713.57,341,14.21,-41.59,DEEP,7.69,7.49,1,crash_signal,-8.87
2025-05-16T14:00:00.000000000,2025-05-19T06:00:00.000000000,2585.51,2354.43,64,2.67,-65.22,DEEP,-8.94,-9.14,0,crash_signal,-9.3
2025-07-18T02:00:00.000000000,2025-08-02T17:00:00.000000000,3605.21,3423.15,375,15.62,-17.15,MID,-5.05,-5.25,0,crash_signal,-12.91
2025-08-24T13:00:00.000000000,2025-08-25T20:00:00.000000000,4768.45,4351.84,31,1.29,-13.96,SHALLOW,-8.74,-8.94,0,crash_signal,-11.78
2025-09-18T05:00:00.000000000,2025-09-22T02:00:00.000000000,4590.85,4290.89,93,3.88,-13.96,SHALLOW,-6.53,-6.73,0,crash_signal,-7.2
2026-01-13T17:00:00.000000000,2026-01-20T20:00:00.000000000,3178.56,3002.64,171,7.12,-42.09,DEEP,-5.53,-5.73,0,crash_signal,-11.28
2026-04-14T00:00:00.000000000,2026-04-15T18:00:00.000000000,2362.39,2352.96,42,1.75,-46.36,DEEP,-0.4,-0.6,0,end_of_data,-1.69
