version,cycle_id,bull_class,depth_score,start_ts,end_ts,duration_days,entry_price,exit_price,drawdown_at_entry_pct,rsi_at_entry
v30,pre,SHALLOW,-0.0,2021-01-02 16:00:00+00:00,2021-01-05 06:00:00+00:00,2.62,784.01,1016.19,0.0,76.4
v30,CyB,SHALLOW,0.088,2021-02-17 18:00:00+00:00,2021-02-21 19:00:00+00:00,4.08,1817.99,1966.9,-2.63,59.2
v30,CyH,SHALLOW,0.031,2021-04-02 18:00:00+00:00,2021-04-07 04:00:00+00:00,4.46,2055.01,2090.5,-0.92,72.9
v30,CyI,SHALLOW,-0.0,2021-04-28 19:00:00+00:00,2021-05-04 23:00:00+00:00,6.21,2741.39,3240.01,0.0,64.7
v30,CyI,SHALLOW,0.105,2021-05-05 09:00:00+00:00,2021-05-07 02:00:00+00:00,1.75,3379.59,3437.58,-3.14,55.3
v30,CyI,SHALLOW,0.044,2021-05-07 14:00:00+00:00,2021-05-07 22:00:00+00:00,0.38,3509.68,3446.91,-1.31,57.8
v30,CyI,SHALLOW,0.031,2021-05-08 02:00:00+00:00,2021-05-10 20:00:00+00:00,2.79,3536.38,3906.23,-0.94,57.3
v30,CyI,SHALLOW,0.155,2021-05-11 11:00:00+00:00,2021-05-12 16:00:00+00:00,1.25,3976.11,4149.0,-4.65,50.1
v30,CyR,SHALLOW,0.092,2021-10-20 03:00:00+00:00,2021-10-24 12:00:00+00:00,4.42,3846.31,4038.38,-2.76,56.8
v30,CyR,SHALLOW,0.142,2021-10-25 06:00:00+00:00,2021-10-26 23:00:00+00:00,1.75,4123.83,4131.47,-4.27,57.3
v30,CyR,SHALLOW,0.026,2021-10-27 05:00:00+00:00,2021-10-27 08:00:00+00:00,0.17,4273.79,4048.11,-0.79,60.5
v30,CyR,SHALLOW,0.036,2021-10-28 19:00:00+00:00,2021-10-30 08:00:00+00:00,1.58,4261.0,4320.81,-1.09,66.9
v30,CyR,SHALLOW,0.057,2021-10-31 01:00:00+00:00,2021-10-31 06:00:00+00:00,0.25,4365.77,4320.87,-1.7,56.5
v30,CyR,SHALLOW,0.073,2021-11-02 07:00:00+00:00,2021-11-03 13:00:00+00:00,1.29,4344.44,4485.04,-2.18,53.6
v30,CyR,SHALLOW,0.021,2021-11-03 19:00:00+00:00,2021-11-04 08:00:00+00:00,0.58,4628.24,4506.63,-0.62,59.9
v30,CyR,SHALLOW,0.078,2021-11-07 08:00:00+00:00,2021-11-09 17:00:00+00:00,2.42,4547.86,4777.86,-2.35,62.6
