date,close,drawdown_min,regime_mode,bull_bars,recovery_bars,crash_bars,correction_bars,range_bars,total_bars
2021-01-01,730.99,-0.0365726785285565,CRASH,0,0,288,0,0,288
2021-01-02,775.3,-0.0424813935497639,CRASH,0,0,288,0,0,288
2021-01-03,980.44,-0.0697789304680745,CRASH,0,0,288,0,0,288
2021-01-04,1042.38,-0.212971040153393,CRASH,0,144,144,0,0,288
2021-01-05,1103.73,-0.1535657836778055,RECOVERY,0,288,0,0,0,288
2021-01-06,1212.02,-0.0816023354436393,RECOVERY,0,288,0,0,0,288
2021-01-07,1227.34,-0.0901533532412592,RECOVERY,0,288,0,0,0,288
2021-01-08,1217.35,-0.168424163244992,CORRECTION,0,24,12,252,0,288
2021-01-09,1281.45,-0.0845542490979221,CORRECTION,0,0,0,288,0,288
2021-01-10,1255.13,-0.1221200889547813,CORRECTION,0,0,0,288,0,288
2021-01-11,1088.79,-0.3201037805782061,CRASH,0,0,264,24,0,288
2021-01-12,1049.79,-0.2470274277242402,CRASH,0,0,288,0,0,288
2021-01-13,1130.8,-0.2675611564121572,CRASH,0,0,288,0,0,288
2021-01-14,1231.32,-0.1897479614529281,CRASH,0,0,156,132,0,288
2021-01-15,1168.1,-0.1870941438102298,CORRECTION,0,0,120,168,0,288
2021-01-16,1227.14,-0.1410748702742772,CORRECTION,0,0,84,204,0,288
2021-01-17,1232.99,-0.1277094143810229,CORRECTION,0,0,24,264,0,288
2021-01-18,1258.48,-0.1187249814677539,CORRECTION,0,0,0,288,0,288
2021-01-19,1368.04,-0.0696664195700519,CORRECTION,0,0,0,288,0,288
2021-01-20,1376.88,-0.1314482845311005,CORRECTION,0,0,0,288,0,288
2021-01-21,1110.62,-0.228803676054666,CRASH,0,0,180,108,0,288
2021-01-22,1233.6,-0.2683785274831176,CRASH,0,0,264,24,0,288
2021-01-23,1234.55,-0.1612184612806135,RECOVERY,0,228,60,0,0,288
2021-01-24,1394.0,-0.1431175234118033,RECOVERY,0,288,0,0,0,288
2021-01-25,1317.97,-0.1117161198871458,RECOVERY,0,288,0,0,0,288
2021-01-26,1367.98,-0.1475963962981641,RECOVERY,0,144,36,108,0,288
2021-01-27,1240.96,-0.1723479943845493,CRASH,0,0,168,120,0,288
2021-01-28,1333.19,-0.1645177118401505,CORRECTION,0,0,48,240,0,288
2021-01-29,1379.87,-0.117249792146547,CORRECTION,0,0,0,288,0,288
2021-01-30,1380.0,-0.0935067944227126,CORRECTION,0,0,0,288,0,288
2021-01-31,1313.94,-0.1214750098815576,CORRECTION,0,0,0,288,0,288
2021-02-01,1374.6,-0.1291144761411495,CORRECTION,0,0,12,276,0,288
2021-02-02,1513.67,-0.0684962313783752,CORRECTION,0,0,0,288,0,288
2021-02-03,1668.72,-0.0332520547770781,CORRECTION,0,0,0,288,0,288
2021-02-04,1597.55,-0.0762374952812382,CORRECTION,0,0,0,288,0,288
2021-02-05,1721.06,-0.0596038599471498,CORRECTION,0,0,0,288,0,288
2021-02-06,1679.77,-0.0616941916511017,CORRECTION,0,0,0,288,0,288
2021-02-07,1615.32,-0.142912292852966,CORRECTION,0,0,0,288,0,288
2021-02-08,1752.98,-0.1076965874318025,CORRECTION,0,0,0,288,0,288
2021-02-09,1772.16,-0.051518703804602,CORRECTION,0,120,0,168,0,288
2021-02-10,1742.93,-0.079039337022599,RECOVERY,0,288,0,0,0,288
2021-02-11,1787.32,-0.0673990676880299,RECOVERY,0,288,0,0,0,288
2021-02-12,1845.0,-0.0484856745631491,RECOVERY,0,288,0,0,0,288
2021-02-13,1818.01,-0.0525571139502725,RECOVERY,0,288,0,0,0,288
2021-02-14,1803.75,-0.04285615132861,RECOVERY,0,288,0,0,0,288
2021-02-15,1779.62,-0.0998873471043934,RECOVERY,0,288,0,0,0,288
2021-02-16,1781.97,-0.0785954159347788,RECOVERY,0,168,0,0,120,288
2021-02-17,1852.0,-0.0735500611315476,RANGE,96,0,0,0,192,288
2021-02-18,1939.64,-0.0230098598858328,BULL,288,0,0,0,0,288
2021-02-19,1957.68,-0.0297558025096367,BULL,288,0,0,0,0,288
2021-02-20,1915.46,-0.0847774646781019,BULL,288,0,0,0,0,288
2021-02-21,1935.57,-0.0715716403695666,BULL,192,0,0,0,96,288
2021-02-22,1778.66,-0.2181857455645122,CRASH,0,0,168,0,120,288
2021-02-23,1577.83,-0.316551954363813,CRASH,0,0,288,0,0,288
2021-02-24,1625.3,-0.2608273031644886,CRASH,0,0,288,0,0,288
2021-02-25,1482.62,-0.2791779988021483,CRASH,0,0,288,0,0,288
2021-02-26,1445.18,-0.3097477638464786,CRASH,0,0,288,0,0,288
2021-02-27,1460.57,-0.2976366974638926,CRASH,0,0,288,0,0,288
2021-02-28,1422.02,-0.3622225058665279,CRASH,0,0,288,0,0,288
2021-03-01,1571.82,-0.3042641557599976,CRASH,0,0,288,0,0,288
2021-03-02,1488.34,-0.2833508429145107,CRASH,0,0,288,0,0,288
2021-03-03,1567.86,-0.2731494663668765,CRASH,0,0,288,0,0,288
2021-03-04,1539.69,-0.2610040353857181,CRASH,0,0,288,0,0,288
2021-03-05,1528.82,-0.2899144812418384,CRASH,0,0,288,0,0,288
